;Excavation Siglum;"Excavation Numbers ""Cleared""";Excavation Numbers UTDB (+-RSTI);Excavation Numbers SAU;KTU3;SAU Biblio (not full!!);Script;Language;SAU Script;SAU Language;SAU Script et Language;SAU genre;RSTI object type;RSTI description;Archive/General area;SAU Archive/General area;Detail in General;SAU Detail in General;SAU findspot;possible relevant (religious) genres;"""Clemens 2001""";Clemens Type;Clemens Note;Seal;Size;Museal Siglum;SAU Museal Siglum;TEO findspot;Topographic Point;SAU p.t.;Depth;SAU Depth;Note
51;RS;['1.067'];['1.[067]'];1.[067];1.33;1.33;Alphabetic;Hurrian;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;ritual?;;;;;20 x 15 x 8;AO 20.000 B;AO20.000B;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
52;RS;['1.068'];['1.[068]'];1.[068];;;Logosyllabic;Akkadian;;;?;;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;15 x 15 x 6;AO 20.000 C;AO20.000C;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
53;RS;['1.069'];['1.[069]'];1.[069];1.35;1.35;Alphabetic;Hurrian;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;religious;;;;;95 x 65 x 23;AO 17.320 [A];AO 17.320[A];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
54;RS;['1.070'];['1.[070]'];1.[070];1.36;1.36;Alphabetic;Hurrian;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;religious;;;;;35 x 45 x 9;AO 17.320 [B];AO 17.320[B];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
55;RS;['1.071'];['1.[071]'];1.[071];1.37;1.37;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;religious;;;;;34 x 30 x 6;AO 17.320 [C];AO 17.320[Q;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
56;RS;['1.072'];['1.[072]'];1.[072];7.34;7.34;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;17 x 31 x 6;M3437 = A7286;A 7286;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
57;RS;['1.073'];['1.[073]'];1.[073];7.37;7.37;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;PRAVDA;;fragmentary, but ilm are there;;19 x 26 x 9;M3448 = A7297;A 7297;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
58;RS;['1.074'];['1.[074]'];1.[074];7.40;7.40;Alphabetic;Hurrian;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP I;religious?;UNCERTAIN;;because Hurrian(?);;24 x 16 x 7;M3463 = A7312;A 7312;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
59;RS;['1.075'];['1.[075]'];1.[075];7.33;7.33;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;POSSIBLY TRUE;;fragmentary, ccording to Clemens possible, but in general uncertain;;27 x 40 x 6;AO 19.998 F;AO 19.998F;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
60;RS;['1.076', '1-11.047', '1.077', '1-11.048'];['1.[077]', '1.076', '1-11.[047]', '1-11.[048]'];1.[077]|1.[076]|1-11.[048]|1-11.[047];1.26;1.26|7.17|7.25|1.34;Alphabetic;Hurrian;"Alphabetic;Alphabetic;Alphabetic";"Ugaritic;Hurrian";a-ug|a-hu|a-;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;list (gods)?/list (sacrifices)?;;;;;30 x 30 x 12, 25 x 25 x 22, 25 x 30 x 15, 20 x 25 x 11;AO 25.164, AO 25.166, AO 25.167;AO 25.167|AO 25.164|AO 25.166|AO 25.165;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
61;RS;['1.078'];['1.[078]'];1.[078];7.24;7.24;Alphabetic;Hurrian;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;religious?;UNCERTAIN;;Hurrian elements? … too fragmentary;;25 x 35 x 12;AO 25.168;AO 25.168;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
62;RS;['1.079'];['1.[079]'];1.[079];4.10;7.34;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;50 x 35 x 14;AO 20.001 [B];A020.001[B];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
63;RS;['1.080'];['1.[080]'];1.[080];7.35;7.35;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;POSSIBLY TRUE;;fragmentary, ccording to Clemens possible, but in general uncertain;;20 x 58 x 19;AO 20.001 [E];AO 20.001 [E];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
64;RS;['1.081'];['1.[081]'];1.[081];2.92;7.36;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;52 x 25 x 16;AO 20.001 [F];A020.001[F];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
65;RS;['1.082'];['1.[082]'];1.[082];7.39;7.39;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;34 x 27 x 9;AO 20.001 [G];A020.001[G];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
66;RS;['1.083'];['1.[083]'];1.[083];7.38;7.38;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;19 x 44 x 10;AO 20.002 [A];A020.002[A];Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
67;RS;['1.087', '1.084'];['1.[084]', '1.[087]'];1.[087]|1.[084];7.1;7.1=7.26|7.2=7.29;Alphabetic;Ugaritic;"Alphabetic;Alphabetic";Ugaritic;a-ug|a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;UNCERTAIN;;letter?;;19 x 20 x 13, 21 x 25 x 6;M3456 = A7305, M3454 = A7303;A 7303|A 7305;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
68;RS;['1.085'];['1.[085]'];1.[085];7.9;7.9=7.27;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;17 x 17 x 5;M3455 = A7304;A 7304;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
69;RS;['1.086'];['1.[086]'];1.[086];7.6;7.6=7.28;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;16 x 20 x 6;M3461 = A7310;A 7310;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
70;RS;['1.088'];['1.[088]'];1.[088];7.10;7.10=7.30;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;UNCERTAIN;;letter?;;31 x 18 x 5;M3450 = A7299;A 7299;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
71;RS;['1.090'];['1.[090]'];1.[090];;S 10,294, pl.59/4;Hieroglyphic;Egyptian;;;;;Statue;Statue, Hieroglyphic Egyptian;Temple of Baal;Temple of Baal;;;Temple I;;;;;;uncertain;Louvre AE 86865+;;Acropole, Temple de Baal;;;;h-eg;
72;RS;['1.091'];['1.[091]'];1.[091];;;Hieroglyphic;Egyptian;;;;;Furniture;Table, Hieroglyphic Egyptian;Temple of Baal;Temple of Baal;;;Temple I;;;;;;(?);;;Acropole, Temple de Baal;;;;h-eg;
73;RS;['1.001'];['1.001'];1.001;1.39;1.39 SLE pl 24;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;list (sacrifices);;;;;110 x 140 x 35;M8214 = A2714 (AO 12.015);A 2714;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
74;RS;['1.002A', '1.002'];['1.002', '1.002[A]'];1.002+1.002[A];1.40;1.40;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;ritual;;;;;162 x 155 x 40, 18 x 19 x 2;AO 11.993;AO 11.993;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
75;RS;['1.003', '2.005'];['1.003', '2.[005]'];2.[005]+1.003;1.41;1.41;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP|GP 1;list (sacrifices);;;;;200 x 161 x 32;AO 11.996;AO 11.996;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
76;RS;['1.004'];['1.004'];1.004;1.42;1.42;Alphabetic;Hurrian;Alphabetic;Hurrian;a-hu;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;ritual;;;;;130 x 101 x 36;M8216 = A2743 (AO 12.039);A 2743;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
77;RS;['1.005'];['1.005'];1.005;1.43;1.43;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;ritual/list (sacrifices)/list (gifts);;;;;155 x 105 x 28;AO 11.995;AO 11.995;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
78;RS;['1.006'];['1.006'];1.006;1.13;1.13;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Lit;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;incantation;;;;;160 x 120 x 33;M3355 = A2741 (AO 11.994);A 2741;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
79;RS;['1.007'];['1.007'];1.007;1.44;1.44, TEO l,f5;Alphabetic;Hurrian;Alphabetic;Hurrian;a-hu;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;hymn;;;;;82 x 57 x 24;AO 12.016;AO 12.016;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
80;RS;['1.009A'];['1.009[A]'];1.009[A];7.41;7.41;Alphabetic;Ugaritic;Alphabetic;;a-;;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;POSSIBLY TRUE;;ritual?;;74 x 61 x 28;AO 12.038;AO 12.038;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
