;Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Clemens note;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note;Associated SAU Entry
16;RS;['15.192[I]'];;;;Tablet;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;;;;30 x 18 x 13;;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
17;RS;['15.192[J]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [J];Alphabetic;Ugaritic;29 x 11 x 11;9.98;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
18;RS;['15.192[K]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [K];Alphabetic;Ugaritic;15 x 15 x 8;9.99;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
19;RS;['15.192[L]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [L];Alphabetic;Ugaritic;28 x 21 x 16;9.100;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
20;RS;['15.192[M]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [M];Alphabetic;Ugaritic;12 x 16 x 28;9.101;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
21;RS;['15.192[N]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [N];Alphabetic;Ugaritic;20 x 14 x 12;9.102;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
22;RS;['15.192[O]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [O];Logosyllabic;Akkadian;9 x 18 x 5;;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
23;RS;['15.192[P]'];;;;Tablet;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;;;;27 x 37 x 19;;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
24;RS;['15.564[B]'];;;;Tablet;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;;;;26 x 20 x 15;;;;;15.564[A]+15.564[B]
25;RS;['15.564[A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.564 [A];Alphabetic;Ugaritic;13 x 20 x 14;9.110;;;;15.564[A]+15.564[B]
26;RS;['15.038'];;;;Tablet, Alphabetic Ugaritic;;Tablet;DO 3924;Royal Palace;Eastern archive;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;1,05;RS 15.038;Alphabetic;Ugaritic;67 x 57 x 22;4.148;;;;16.318=15.038
27;RS;['16.318'];;;;Tablet;;Tablet;;;;;;;RS 16.318;;;;;;;;16.318=15.038
28;RS;['15.059'];;;;Tablet;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;1,05;;;;62 x 58 x 15;;;;;15.057+15.058+15.059
29;RS;['15.057'];;;;Tablet;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;1,05;;;;31 x 25 x 13;;;;;15.057+15.058+15.059
30;RS;['15.058'];;;;Tablet;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;1,05;;;;25 x 29 x 17;;;;;15.057+15.058+15.059
31;RS;['17.463[B]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901;;;RS 17.463 [B];Logosyllabic;Akkadian;10 x 2 x 2;;;;;17.463[A]+17.463[B]
32;RS;['17.463[A]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901;;;RS 17.463 [A];Logosyllabic;Akkadian;9 x 15 x 2;;;;;17.463[A]+17.463[B]
33;RS;['16.007[A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [A];Alphabetic;Ugaritic;42 x 24 x 10;9.111;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
34;RS;['16.007[B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [B];Alphabetic;Ugaritic;53 x 17 x 15;9.112;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
35;RS;['16.007[C]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [C];Alphabetic;Ugaritic;30 x 33 x 17;9.113;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
36;RS;['16.007[D]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [D];Alphabetic;Ugaritic;21 x 16 x 7;9.114;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
37;RS;['16.007[E]', '16.196', '16.007[E],16.007[E]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4302;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [E]+;Alphabetic;Ugaritic;27 x 84 x 21;9.115;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
38;RS;['16.007[F]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [F];Alphabetic;Ugaritic;31 x 17 x 7;9.116;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
39;RS;['16.007[G]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, room 62, p.t., 316 ? 0,90;316;0,9;RS 16.007 [G];Alphabetic;Ugaritic;22 x 14 x 6;9.117;;;;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G]
40;RS;['16.375[F]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375 [F];Alphabetic;Ugaritic;10 x 15 x 7;9.144;;;;16.375A+16.375B+16.375C+16.375D+16.375E+16.375[F]
41;RS;['16.375A'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375A;Alphabetic;Ugaritic;45 x 72 x 26;9.139;;;;16.375A+16.375B+16.375C+16.375D+16.375E+16.375[F]
42;RS;['16.375B'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375B;Alphabetic;Ugaritic;39 x 39 x 10;9.140;;;;16.375A+16.375B+16.375C+16.375D+16.375E+16.375[F]
43;RS;['16.375C'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375C;Alphabetic;Ugaritic;43 x 25 x 11;9.141;;;;16.375A+16.375B+16.375C+16.375D+16.375E+16.375[F]
44;RS;['16.375D'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375D;Alphabetic;Ugaritic;22 x 27 x 6;9.142;;;;16.375A+16.375B+16.375C+16.375D+16.375E+16.375[F]
45;RS;['16.375E'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375E;Alphabetic;Ugaritic;26 x 34 x 19;9.143;;;;16.375A+16.375B+16.375C+16.375D+16.375E+16.375[F]
46;RS;['17.[475][A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 864 ? 3,20;864;3,2;RS 17.[475] [A];Alphabetic;Ugaritic;26 x 17 x 6;9.182;;;;17.[475A]+17.[475B]+17.[475C]
47;RS;['17.[475][B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 864 ? 3,20;864;3,2;RS 17.[475] [B];Alphabetic;Ugaritic;23 x 15 x 7;9.183;;;;17.[475A]+17.[475B]+17.[475C]
48;RS;['17.[475][C]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 864 ? 3,20;864;3,2;RS 17.[475] [C];Alphabetic;Ugaritic;14 x 23 x 7;9.184;;;;17.[475A]+17.[475B]+17.[475C]
49;RS;['17.370[A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1220 ? 3,40;1220;3,4;RS 17.370 [A];Alphabetic;Ugaritic;52 x 66 x 17;4.302;;;;17.370[B]+17.370[A]
50;RS;['17.370[B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1220 ? 3,40;1220;3,4;RS 17.370 [B];Alphabetic;Ugaritic;19 x 58 x 12;4.303;;;;17.370[B]+17.370[A]
51;RS;['24.309B'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 6638;South Acropolis;;Sud Acropole, pr?s extrémité S, p.t. 3531, ? 2,0;3531;2;RS 24.309B;Logosyllabic;Akkadian;35 x 25 x 17;;;;;24.309A(+)24.309B
52;RS;['24.309A'];PRAVDA;Lexical;DNN;Tablet, Logosyllabic Akkadian;WGL;Tablet;DO 6637;South Acropolis;;Sud Acropole, pr?s extrémité S, p.t. 3531, ? 2,0;3531;2;RS 24.309A;Logosyllabic;Akkadian;95 x 110 x 23;;lexical deities;;;24.309A(+)24.309B
53;RS;['20.181B'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181B;Logosyllabic;Akkadian;67 x 55 x 28;;;;;20.181B+20.170B+20.187A+20.201B+181B
54;RS;['20.201B'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 10, p.t. 1847 ? 1,60;1847;1,6;RS 20.201B;Logosyllabic;Akkadian;45 x 38 x 18;;;;;20.181B+20.170B+20.187A+20.201B+181B
55;RS;['20.181A', '20.182A', '20.181,7'];UNCERTAIN;Letter;related to the dossie of blasphemous act in Sidon?;Tablet, Logosyllabic Akkadian;;Tablet;DO 5353;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181A+;Logosyllabic;Akkadian;60 x 35 x 17;;;;;20.181A+20.181,7+20.181,15+20.181,18+20.182A+20.182B
56;RS;['20.181,18', '20.181,15', '20.182B'];UNCERTAIN;Letter;related to the dossie of blasphemous act in Sidon?;Tablet, Logosyllabic Akkadian;;Tablet;DO 5354;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181,15+;Logosyllabic;Akkadian;90 x 75 x 15;;;;;20.181A+20.181,7+20.181,15+20.181,18+20.182A+20.182B
57;RS;['20.181H'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181H;Logosyllabic;Akkadian;23 x 29 x 8;;;;;20.181F+20.181G+20.181H
58;RS;['20.181F'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181F;Logosyllabic;Akkadian;38 x 28 x 11;;;;;20.181F+20.181G+20.181H
59;RS;['20.181G'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181G;Logosyllabic;Akkadian;70 x 57 x 11;;;;;20.181F+20.181G+20.181H
60;RS;['20.181,11'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181,11;Logosyllabic;Akkadian;27 x 10 x 24;;;;;20.181,17+20.181,11
61;RS;['20.181,17'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181,17;Logosyllabic;Akkadian;14 x 15 x 4;;;;;20.181,17+20.181,11
62;RS;['20.181,21'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181,21;Logosyllabic;Akkadian;35 x 15 x 6;;;;;20.181,[21]+20.181,[22]+20.181,[23]
63;RS;['20.181,23'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;"Quartier Rés., M. de Rapanu, room 7, p.t. 1848 ? 1,70; 1863 ? 1,80";1848;;RS 20.181,23;Logosyllabic;Akkadian;10 x 13 x 6;;;;;20.181,[21]+20.181,[22]+20.181,[23]
64;RS;['20.142B'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 6 et 7, p.t. 1827 ? 1,45;1827;1,45;RS 20.142B;Logosyllabic;Akkadian;37 x 53 x 18;;;;;20.142B(+)20.142C
65;RS;['20.142C'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 6 et 7, p.t. 1827 ? 1,45;1827;1,45;RS 20.142C;Logosyllabic;Akkadian;32 64 x 14;;;;;20.142B(+)20.142C
66;RS;['20.196A'];PRAVDA;Lexical;scribe as servant of Nabu and Nisaba;Tablet, Logosyllabic Akkadian;;Tablet;DO 5367;House of Rapanu;;Rapanu’s House, Room 5;1838;1,6;RS 20.196A;Logosyllabic;Akkadian;75 x 65 x 21;;;;;20.161,16+20.160N+20.181D+20.196A+20.161D+20.181,9+21.005D+21.007+21.007H+21.063A
67;RS;['21.063A', '21.007H'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.007H+;Logosyllabic;Akkadian;46 x 25 x 7;;;;;20.161,16+20.160N+20.181D+20.196A+20.161D+20.181,9+21.005D+21.007+21.007H+21.063A
68;RS;['21.005D'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.005D;Logosyllabic;Akkadian;12 x 22 x 3;;;;;20.161,16+20.160N+20.181D+20.196A+20.161D+20.181,9+21.005D+21.007+21.007H+21.063A
69;RS;['20.144X'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1845 ? 1,50;1845;1,5;RS 20.144X;Logosyllabic;Akkadian;19 x 15 x 11;;;;;20.144V+20.144W+20.144X+20.144Y
70;RS;['20.144Y'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1845 ? 1,50;1845;1,5;RS 20.144Y;Logosyllabic;Akkadian;15 x 19 x 15;;;;;20.144V+20.144W+20.144X+20.144Y
71;RS;['20.144V'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1845 ? 1,50;1845;1,5;RS 20.144V;Logosyllabic;Akkadian;13 x 32 x 8;;;;;20.144V+20.144W+20.144X+20.144Y
72;RS;['20.144W'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1845 ? 1,50;1845;1,5;RS 20.144W;Logosyllabic;Akkadian;13 x 23 x 11;;;;;20.144V+20.144W+20.144X+20.144Y
73;RS;['20.[433A]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1824 ? 1,0;1824;1;RS 20.[433A];Logosyllabic;Akkadian;38 x 35 x 7;;;;;20.[433A]+20.[433B]+20.[433C]+20.[433D]
74;RS;['20.[433B]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1824 ? 1,0;1824;1;RS 20.[433B];Logosyllabic;Akkadian;21 x 24 x 4;;;;;20.[433A]+20.[433B]+20.[433C]+20.[433D]
75;RS;['20.[433C]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1824 ? 1,0;1824;1;RS 20.[433C];Logosyllabic;Akkadian;29 x 23 x 4;;;;;20.[433A]+20.[433B]+20.[433C]+20.[433D]
76;RS;['20.[433D]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Rés., M. de Rapanu, entre rooms 5 et 7, p.t. 1824 ? 1,0;1824;1;RS 20.[433D];Logosyllabic;Akkadian;15 x 23 x 5;;;;;20.[433A]+20.[433B]+20.[433C]+20.[433D]
77;RS;['21.004A'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.004A;Logosyllabic;Akkadian;45 x 29 x 6;;;;;21.003C+21.004A+21.005B
78;RS;['21.003C'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.003C;Logosyllabic;Akkadian;25 x 35 x 6;;;;;21.003C+21.004A+21.005B
79;RS;['21.005B'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 5555;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.005B;Logosyllabic;Akkadian;100 x 85 x 14;;;;;21.003C+21.004A+21.005B
80;RS;['21.003D'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.003D;Logosyllabic;Akkadian;17 x 33 x 9;;;;;21.003D(+)21.003E?
81;RS;['21.003E'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1900 ? 2,10;1900;2,1;RS 21.003E;Logosyllabic;Akkadian;29 x 20 x 9;;;;;21.003D(+)21.003E?
